name,description,price,unit,imageUrl,category,date,quantity,properties
Beef Steak,Nice Steak. Made from local cows. Hand crafted.,49.99,1kg,https://bit.ly/2WVnj2E,meat,24.05.2020,500,[(Animal of origin,Cow),(Country of origin,Austria)]
Pork Steak,Nice Steak. Made form local pigs. Hand crafted.,29.99,1kg,meat,https://bit.ly/2ytutSm,meat,24.05.2020,500,[(Animal of origin,Pig),(Country of origin,Austria)]
Chicken Breast,Nice Breast. Made from local chickens. Hand crafted.,14.99,1kg,https://bit.ly/2zjoYX0,meat,24.05.2020,1000,[(Animal of origin,Chicken),(Country of origin,Austria)]
Gouda,Classic cheese. Made from local produce. Hand crafted.,19.99,1kg,https://bit.ly/3bSWyQM,cheese,24.05.2020,300,[(Country of origin,Austria)]
Cheddar,Classic cheese. Made from local produce. Hand crafted.,14.99,1kg,https://bit.ly/2WZEmkj,cheese,24.05.2020,300,[(Country of origin,Austria)]
Emmentaler,Classic cheese. Made from local produce. Hand crafted.,17.49,1kg,https://bit.ly/3d2MF4c,cheese,24.05.2020,300,[(Country of origin,Austria)]
Potatoes,Bio product. Low-starch type. Locally harvested and packaged by hand., 6.99,1kg,https://bit.ly/2WWJwNV,vegetables,24.05.2020,1000,[(Country of origin,Austria)]
Carrots,Bio product. Locally harvested and packaged by hand., 6.99,1kg,https://bit.ly/2TzSrCQ,vegetables,24.05.2020,500,[(Country of origin,Austria)]
Cauliflower,Bio product. Locally harvested and packaged by hand., 6.99,1kg,https://bit.ly/3bUqDiJ,vegetables,24.05.2020,300,[(Country of origin,Austria)]
Apples,Bio product. Locally harvested and packaged by hand., 5.99,1kg,https://bit.ly/3c3wvpT,fruits,24.05.2020,500,[(Country of origin,Austria)]
Pears,Bio product. Locally harvested and packaged by hand., 5.99,1kg,https://bit.ly/3c1a6JQ,fruits,24.05.2020,500,[(Country of origin,Austria)]
Cherries,Bio product. Locally harvested and packaged by hand., 5.99,1kg,https://bit.ly/2LVPVm5,fruits,24.05.2020,500,[(Country of origin,Austria)]
Apple Juice,Bio product. Filled in reusable glass bottles., 3.99,1l,https://bit.ly/3cZ5wgN,drinks,24.05.2020,500,[(Country of origin,Austria)]
Turnip Juice,Bio product. Filled in reusable glass bottles., 3.99,1l,https://bit.ly/2ZxkTsP,drinks,24.05.2020,500,[(Country of origin,Austria)]
Natural Water,Filled in reusable glass bottles., 1.99,1l,https://bit.ly/3bYmsCJ,drinks,24.05.2020,1000,[(Country of origin,Austria)]
Cider,Bio product. Filled in reusable glass bottles., 5.99,1l,https://bit.ly/2zudtfl,alcohol,24.05.2020,1000,[(Country of origin,Austria)]
Red Wine,Zweigelt. Bio product. Filled in reusable glass bottles., 9.99,1l,https://bit.ly/2TCABPH,alcohol,24.05.2020,1000,[(Country of origin,Austria)]
White Wine,Grüner Veltliner. Bio product. Filled in reusable glass bottles., 9.99,1l,https://bit.ly/3d1KAFL,alcohol,24.05.2020,1000,[(Country of origin,Austria)]
Coffee Beans,Bio product. Roasted and handpicked., 24.99,1kg,https://bit.ly/3d2oH9l,coffee,24.05.2020,500,[]
Fruit Tea,Bio product. Packaged in paper by hand., 24.99,1kg,https://bit.ly/2M17EbH,coffee,24.05.2020,500,[(Country of origin,Austria)]
Cow Milk,3.5% fat. Bio product. Filled in reusable glass bottles., 2.99,1l,https://bit.ly/36tvmqH,essentials,24.05.2020,500,[(Country of origin,Austria)]
Eggs,Chicken eggs. Bio product. Hand picked., 7.99,1kg,https://bit.ly/3gfqObU,essentials,24.05.2020,500,[(Country of origin,Austria)]
Wheat Flour,Bio product. Packaged in paper by hand., 5.99,1kg,https://bit.ly/2WYxDab,flour,24.05.2020,500,[(Country of origin,Austria)]
Bread Rolls,Kaisersemmel type. Bio product., 4.99,1kg,https://bit.ly/2LULjN1,bakery,24.05.2020,500,[(Country of origin,Austria)]
Pretzels,Classic style. Bio product., 4.99,1kg,https://bit.ly/3c1njSY,bakery,24.05.2020,500,[(Country of origin,Austria)]
Croissants,Classic style. Bio product., 4.99,1kg,https://bit.ly/2ZuSGmt,bakery,24.05.2020,500,[(Country of origin,Austria)]
Canned Peaches,Bio product. Sealed in glass jar by hand., 6.99,1kg,https://bit.ly/3ecgFLl,convenience,24.05.2020,500,[(Country of origin,Austria)]
Canned Pickles,Bio product. Sealed in glass jar by hand., 6.99,1kg,https://bit.ly/3eeMMtH,convenience,24.05.2020,500,[(Country of origin,Austria)]
Bonbons,Strawberry flavour. Hand crafted., 9.99,1kg,https://bit.ly/2AYff8V,candies,24.05.2020,500,[(Country of origin,Austria)]